Strategy,Popsize,Mutation,Nit,X0,X1,Estimated
best1exp,11,0.2,32,0.0,0.0,11#0.2
best1exp,11,0.1,17,-0.0,-0.0,11#0.1
best1exp,11,0.0,3,0.27,0.33,11#0.0
best1exp,12,1.0,36,-0.0,-0.0,12#1.0
best1exp,12,0.9,135,0.0,0.0,12#0.9
best1exp,12,0.8,116,0.0,0.0,12#0.8
best1exp,12,0.7,90,0.0,0.0,12#0.7
best1exp,12,0.6,72,0.0,0.0,12#0.6
best1exp,12,0.5,69,0.0,0.0,12#0.5
best1exp,12,0.4,51,0.0,0.0,12#0.4
best1exp,12,0.3,40,0.0,0.0,12#0.3
best1exp,12,0.2,6,0.0,-0.95,12#0.2
best1exp,12,0.1,9,-0.0,-0.0,12#0.1
best1exp,12,0.0,2,1.0,-0.53,12#0.0
best1exp,13,1.0,107,0.0,-0.0,13#1.0
best1exp,13,0.9,132,0.0,0.0,13#0.9
best1exp,13,0.8,111,0.0,0.0,13#0.8
best1exp,13,0.7,92,0.0,0.0,13#0.7
best1exp,13,0.6,78,0.0,0.0,13#0.6
best1exp,13,0.5,60,0.0,0.0,13#0.5
best1exp,13,0.4,48,0.0,0.0,13#0.4
best1exp,13,0.3,35,0.0,0.0,13#0.3
best1exp,13,0.2,28,0.0,0.0,13#0.2
best1exp,13,0.1,14,-0.0,-0.0,13#0.1
best1exp,13,0.0,4,-0.0,0.0,13#0.0
best1exp,14,1.0,46,0.0,0.0,14#1.0
best1exp,14,0.9,141,0.0,0.0,14#0.9
best1exp,14,0.8,107,0.0,0.0,14#0.8
best1exp,14,0.7,96,0.0,0.0,14#0.7
best1exp,14,0.6,76,0.0,0.0,14#0.6
best1exp,14,0.5,62,0.0,0.0,14#0.5
best1exp,14,0.4,47,0.0,0.0,14#0.4
best1exp,14,0.3,37,0.0,0.0,14#0.3
best1exp,14,0.2,28,0.0,0.0,14#0.2
best1exp,14,0.1,24,-0.0,-0.0,14#0.1
best1exp,14,0.0,4,-0.97,-0.97,14#0.0
best1exp,15,1.0,45,-0.0,-0.0,15#1.0
best1exp,15,0.9,137,0.0,0.0,15#0.9
best1exp,15,0.8,115,0.0,0.0,15#0.8
best1exp,15,0.7,94,0.0,0.0,15#0.7
best1exp,15,0.6,73,0.0,0.0,15#0.6
best1exp,15,0.5,64,0.0,0.0,15#0.5
best1exp,15,0.4,48,0.0,0.0,15#0.4
best1exp,15,0.3,35,0.0,0.0,15#0.3
best1exp,15,0.2,30,0.0,0.0,15#0.2
best1exp,15,0.1,24,0.0,0.0,15#0.1
best1exp,15,0.0,3,0.97,-0.97,15#0.0
best1exp,16,1.0,47,0.0,0.0,16#1.0
best1exp,16,0.9,128,0.0,0.0,16#0.9
best1exp,16,0.8,115,0.0,0.0,16#0.8
best1exp,16,0.7,94,0.0,0.0,16#0.7
best1exp,16,0.6,69,0.0,0.0,16#0.6
best1exp,16,0.5,58,0.0,0.0,16#0.5
best1exp,16,0.4,45,0.0,0.0,16#0.4
best1exp,16,0.3,36,0.0,0.0,16#0.3
best1exp,16,0.2,29,0.0,0.0,16#0.2
best1exp,16,0.1,24,0.0,0.0,16#0.1
best1exp,16,0.0,3,0.04,1.31,16#0.0
best1exp,17,1.0,161,0.0,0.0,17#1.0
best1exp,17,0.9,129,0.0,0.0,17#0.9
best1exp,17,0.8,114,0.0,0.0,17#0.8
best1exp,17,0.7,101,0.0,0.0,17#0.7
best1exp,17,0.6,77,0.0,0.0,17#0.6
best1exp,17,0.5,61,0.0,0.0,17#0.5
best1exp,17,0.4,51,-0.0,-0.0,17#0.4
best1exp,17,0.3,37,0.0,0.0,17#0.3
best1exp,17,0.2,29,0.0,0.0,17#0.2
best1exp,17,0.1,23,0.0,0.0,17#0.1
best1exp,17,0.0,3,0.95,-0.0,17#0.0
best1exp,18,1.0,35,-0.0,-0.0,18#1.0
best1exp,18,0.9,136,0.0,0.0,18#0.9
